SKU;STOCK;TIMESTAMP
01000274501;51;2014-03-19 12:34:29
01000274502;75;2014-03-19 12:34:29
01000274503;9;2014-03-19 12:34:29
01000274504;9;2014-03-19 12:34:29
01000274505;1;2014-03-19 12:34:29
01000274801;50;2014-03-19 12:34:29
01000274802;112;2014-03-19 12:34:29
01000274803;45;2014-03-19 12:34:29
01000274804;48;2014-03-19 12:34:29
01000274805;91;2014-03-19 12:34:29
01000300101;60;2014-03-19 12:34:29
01000300102;64;2014-03-19 12:34:29
01000300103;68;2014-03-19 12:34:29
01000300104;59;2014-03-19 12:34:29
01000300105;91;2014-03-19 12:34:29
01000300113;17;2014-03-19 12:34:29
01000300201;34;2014-03-19 12:34:29
01000300202;73;2014-03-19 12:34:29
01000300203;59;2014-03-19 12:34:29
01000300204;55;2014-03-19 12:34:29
01000300205;47;2014-03-19 12:34:29
01000300213;8;2014-03-19 12:34:29
01000300301;64;2014-03-19 12:34:29
01000300302;78;2014-03-19 12:34:29
01000300303;116;2014-03-19 12:34:29
01000300304;60;2014-03-19 12:34:29
01000300305;60;2014-03-19 12:34:29
01000300313;1;2014-03-19 12:34:29
01000300401;34;2014-03-19 12:34:29
01000300402;11;2014-03-19 12:34:29
01000300403;34;2014-03-19 12:34:29
01000300404;53;2014-03-19 12:34:29
01000300405;7;2014-03-19 12:34:29
01000300413;1;2014-03-19 12:34:29
01000344101;11;2014-03-19 12:34:29
01000344102;49;2014-03-19 12:34:29
01000344103;57;2014-03-19 12:34:29
01000344104;17;2014-03-19 12:34:29
01000344105;12;2014-03-19 12:34:29
01000345001;12;2014-03-19 12:34:29
01000345002;12;2014-03-19 12:34:29
01000345003;0;2014-03-19 12:34:29
01000345004;19;2014-03-19 12:34:29
01000345005;8;2014-03-19 12:34:29
01000354001;21;2014-03-19 12:34:29
01000354002;50;2014-03-19 12:34:29
01000354003;125;2014-03-19 12:34:29
01000354004;46;2014-03-19 12:34:29
01000354005;49;2014-03-19 12:34:29
01000360001;4;2014-03-19 12:34:29
01000360002;37;2014-03-19 12:34:29
01000360003;49;2014-03-19 12:34:29
01000360004;51;2014-03-19 12:34:29
01000360005;11;2014-03-19 12:34:29
01000362001;50;2014-03-19 12:34:29
01000362002;49;2014-03-19 12:34:29
01000362003;64;2014-03-19 12:34:29
01000362004;23;2014-03-19 12:34:29
01000362005;46;2014-03-19 12:34:29
01000367001;8;2014-03-19 12:34:29
01000367002;17;2014-03-19 12:34:29
01000367003;25;2014-03-19 12:34:29
01000367004;33;2014-03-19 12:34:29
01000367005;10;2014-03-19 12:34:29
01000374801;49;2014-03-19 12:34:29
01000374802;11;2014-03-19 12:34:29
01000374803;8;2014-03-19 12:34:29
01000374804;17;2014-03-19 12:34:29
01000374805;37;2014-03-19 12:34:29
01000400101;1871;2014-03-19 12:34:29
01000400102;4590;2014-03-19 12:34:29
01000400103;6614;2014-03-19 12:34:29
01000400104;5904;2014-03-19 12:34:29
01000400105;2256;2014-03-19 12:34:29
01000400113;489;2014-03-19 12:34:29
01000400201;1835;2014-03-19 12:34:29
01000400202;3704;2014-03-19 12:34:29
01000400203;5133;2014-03-19 12:34:29
01000400204;3805;2014-03-19 12:34:29
01000400205;1455;2014-03-19 12:34:29
01000400213;258;2014-03-19 12:34:29
01000400301;1010;2014-03-19 12:34:29
01000400302;1913;2014-03-19 12:34:29
